Deputado;Qtd Leis Aprovadas
Poder Executivo;12
Enio Bacci;11
Carlos Nader;9
Senado Federal - Paulo Paim;9
Paulo Rocha;8
Alberto Fraga;7
Carlos Cardinal;6
Cunha Bueno;6
Luiz Bittencourt;6
Bernardo Ariston;5
Luiza Erundina;5
Valdir Colatto;5
ANTONIO CARLOS MENDES THAME;4
Paulo Paim;4
Iriny Lopes;4
Wladimir Costa;4
Almir Moura;4
Fernando Coelho Filho;4
Lincoln Portela;4
Carlos Bezerra;4
Miguel Martini;4
Dr. Rosinha;4
Jorge Tadeu Mudalen;3
Wilson Santos;3
CARLOS ALBERTO CAMPISTA;3
José Carlos Coutinho;3
Alice Portugal;3
Paes Landim;3
Rogério Silva;3
Colbert Martins;3
Júlio Delgado;3
Coronel Alves;3
Neucimar Fraga;3
Paulo Bauer;3
João Campos;3
Senado Federal - Tasso Jereissati;3
Neuton Lima;3
Senado Federal - Sérgio Zambiasi;3
Senado Federal - Rodolpho Tourinho;3
Barbosa Neto;3
Takayama;3
Delegado Bruno Lima;3
Delegado Matheus Laiola;3
Duarte Jr.;3
Fred Costa;3
Marcelo Queiroz;3
Ricardo Tripoli;3
Senado Federal - César Borges;3
Clodovil Hernandes;3
Chico Alencar;3
Daniel Almeida;3
Cleber Verde;3
Milton Monti;3
Dr. Talmir;3
Rita Camata;3
Inácio Arruda;3
Silas Brasileiro;2
Eduardo Jorge;2
Senado Federal - Jutahy Magalhães;2
José Coimbra;2
Maria Elvira;2
LAPROVITA VIEIRA;2
Jackson Pereira;2
Roberto Jefferson;2
Costa Ferreira;2
AUGUSTO VIVEIROS;2
MENDONCA NETO;2
Jaques Wagner;2
ALVARO VALLE;2
KOYU IHA;2
Elcione Barbalho;2
João Caldas;2
Regis Cavalcante;2
Raimundo Gomes de Matos;2
Reginaldo Lopes;2
Dr. Heleno;2
Dr. Pinotti;2
Feu Rosa;2
Gastão Vieira;2
Ronaldo Vasconcellos;2
Mário Heringer;2
Vicentinho;2
Ricardo Fiuza;2
Antonio Carlos Biscaia;2
Marcos Abramo;2
Paulo Pimenta;2
Cláudio Magrão;2
Celso Russomanno;2
Lobbe Neto;2
Comissão de Legislação Participativa;2
Flávio Dino;2
Maurício Trindade;2
Homero Pereira;2
Vinicius Carvalho;2
Manoel Junior;2
João Dado;2
Henrique Afonso;2
Adão Pretto;2
Sandro Mabel;2
Carlos Sampaio;2
Givaldo Carimbão;2
Rubinelli;2
José Mentor;2
Senado Federal - Demóstenes Torres;2
Orlando Desconsi;2
Luiz Bassuma;2
Ricardo Izar;2
Manuela D'ávila;2
Chico Lopes;2
Vic Pires Franco;2
Aldo Rebelo;2
Max Rosenmann;2
Bispo Wanderval;2
João Herrmann Neto;2
Ronaldo Cunha Lima;2
RAQUEL CANDIDO;1
Abelardo Lupion;1
Rommel Feijó;1
GERALDO ALCKMIM FILHO;1
Professor Luizinho;1
Nilson Gibson;1
Zaire Rezende;1
ROBERTO MAGALHAES;1
JOSE MAURICIO;1
Romel Anizio;1
Alberto Goldman;1
GRUPO  DE TRABALHO DE CONSOLIDAÇÃO DAS LEIS;1
Inocêncio Oliveira;1
WAGNER LAGO;1
Edison Andrino;1
Nelson Marchezan;1
Senado Federal - Louremberg Nunes Rocha;1
João Coser;1
Senado Federal - ROMERO JUCA;1
Marçal Filho;1
Paulo Gouvêa;1
GENESIO BERNARDINO;1
Senado Federal - JUTAHY MAGALHÃES;1
Chico da Princesa;1
ANA JULIA;1
CIDINHA CAMPOS;1
Magno Malta;1
Pastor Oliveira Filho;1
Sarney Filho;1
Evandro Milhomen;1
ULDURICO PINTO;1
Aloízio Santos;1
JORGE ANDERS;1
FRANCISCO DIOGENES;1
BETO LELIS;1
Clementino Coelho;1
João Henrique;1
Bispo Rodrigues;1
Luiz Ribeiro;1
Nelson Pellegrino;1
Iédio Rosa;1
Ricardo Noronha;1
CPITRAFI;1
Senado Federal - Carlos Patrocínio;1
Geraldo Resende;1
Giacobo;1
João Magno;1
Zelinda Novaes;1
Nelson Bornier;1
Senado Federal - Gerson Camata;1
Josias Quintal;1
João Mendes de Jesus;1
Vicente Chelotti;1
Pompeo de Mattos;1
Paulo Rubem Santiago;1
Flávio Bezerra;1
George Hilton;1
Aelton Freitas;1
Fábio Faria;1
Silvinho Peccioli;1
Senado Federal - Serys Slhessarenko;1
Senado Federal - Marconi Perillo;1
Edigar Mão Branca;1
Jusmari Oliveira;1
Jurandy Loureiro;1
Senado Federal - ITAMAR FRANCO;1
Antonio Nogueira;1
Wellington Roberto;1
André Luiz;1
Comissão Parlamentar de Inquérito com a finalidade de investigar denúncias de irregularidade na prestação de serviços por empresas e instituições privadas de Planos de Saúde.;1
Celcita Pinheiro;1
William Woo;1
Henrique Fontana;1
Senado Federal - Papaléo Paes;1
Íris de Araújo;1
Eduardo Gomes;1
Andreia Zito;1
Raul Henry;1
Frank Aguiar;1
Edgar Moury;1
Pepe Vargas;1
Silvio Lopes;1
Senado Federal - Alvaro Dias;1
Marcelo Itagiba;1
Vital do Rêgo Filho;1
Gladson Cameli;1
Senado Federal - CPI do Apagão Aéreo;1
Dr. Nechar;1
Jorginho Maluly;1
Geraldo Pudim;1
Leonardo Picciani;1
Renato Amary;1
Antonio Carlos Mendes Thame;1
Zequinha Marinho;1
Corauci Sobrinho;1
Antonio Kandir;1
Raimundo Santos;1
Geraldo Magela;1
LUIS ROBERTO PONTE;1
Ubiratan Aguiar;1
VANESSA FELIPPE;1
Valdemar Costa Neto;1
Angela Guadagnin;1
ADYLSON MOTTA;1
OSWALDO LIMA FILHO;1
Rubens Bueno;1
BENEDITA DA SILVA;1
Moacyr Andrade;1
Carlito Merss;1
SIDNEY DE MIGUEL;1
SIGMARINGA SEIXAS;1
Célia Mendes;1
MARCELINO ROMANO MACHADO;1
José Luiz Clerot;1
Maurício Requião;1
JOSE FORTUNATI;1
Aloizio Mercadante;1
Magalhães Teixeira;1
FERNANDO CARRION;1
CPI - NARCOTRÁFICO;1
FRANCISCO AMARAL;1
Serafim Venzon;1
VASCO FURLAN;1
Pedro Celso;1
Nelson Proença;1
LUIZ CARLOS SANTOS;1
LEOPOLDO SOUZA;1
Ricardo Ferraço;1
JOSE MARIA EYMAEL;1
JOSE VICENTE BRIZOLA;1
Jorge Pinheiro;1
Luiz Moreira;1
Marinha Raupp;1
Marisa Serrano;1
JOSE ABRAO;1
Fernando Zuppo;1
Darcísio Perondi;1
José Aníbal;1
João Paulo;1
HELIO BICUDO;1
VIRMONDES CRUVINEL;1
ELIAS MURAD;1
Fetter Junior;1
SENADO FEDERAL - JOSÉ EDUARDO DUTRA;1
Mário Assad Júnior;1
Geraldo Thadeu;1
Elimar Máximo Damasceno;1
Fernando de Fabinho;1
Washington Luiz;1
Fernando Ferro;1
Adelor Vieira;1
Senado Federal - Arthur Virgílio;1
Robson Tuma;1
Jorge Alberto;1
Francisco Garcia;1
Ivan Valente;1
Senado Federal - Eduardo Azeredo;1
Edson Duarte;1
Gorete Pereira;1
Jair Bolsonaro;1
Zenaldo Coutinho;1
Juíza Denise Frossard;1
Simplício Mário;1
Jorge Gomes;1
Humberto Michiles;1
Senado Federal - Jefferson Peres;1
Fernando Estima;1
Dr. Ribamar Alves;1
Senado Federal - Ideli Salvatti;1
Francisco Escórcio;1
Senado Federal - Luiz Pontes;1
Gilmar Machado;1
Eduardo Sciarra;1
Marcelo Melo;1
Mauro Benevides;1
Rebecca Garcia;1
Ribamar Alves;1
Sabino Castelo Branco;1
